sequence_length,candidate_variables,estimated_qubits,shared_conflicts,crossing_conflicts,quadratic_terms,qaoa_reps,estimated_two_qubit_gates,estimated_cost_rz_gates,estimated_mixer_rx_gates,serial_depth_upper_bound,statevector_memory_gb,formulation_runtime_ms,vienna_runtime_ms,mfe_energy_kcal_mol,mfe_structure
8,1,1,0,0,0,1,0,0,1,2,0.000000,0.025,0.616,0.0,........
10,4,4,4,2,6,1,12,6,4,20,0.000000,0.056,0.082,0.0,..........
12,17,17,54,54,108,1,216,108,17,326,0.002,0.201,0.067,0.0,............
16,33,33,140,235,375,1,750,375,33,1127,128.000,0.553,0.088,0.0,................
20,59,59,345,785,1130,1,2260,1130,59,3392,8.590e+09,1.818,0.145,0.0,....................
24,79,79,581,1441,2022,1,4044,2022,79,6068,9.007e+15,3.508,0.212,0.0,........................
28,100,100,865,2198,3063,1,6126,3063,100,9191,1.889e+22,7.783,0.483,-1.2,..........(((((......).)))).
32,134,134,1348,3572,4920,1,9840,4920,134,14762,2^108 GB,10.017,0.412,-1.2,..........(((((......).)))).....
36,161,161,1891,5211,7102,1,14204,7102,161,21308,2^135 GB,14.326,0.484,-1.2,..........(((((......).)))).........
40,241,241,3377,10794,14171,1,28342,14171,241,42515,2^215 GB,33.395,0.775,-1.2,..........(((((......).)))).............
44,313,313,4933,18254,23187,1,46374,23187,313,69563,2^287 GB,51.474,1.101,-7.9,.(((((((..((((...(((....)))...))))..))))))).
